millis,armed,fp,roll,gx,"u2,m1, m2"
1130,0,0.81,-0.000000,1022.00,1022.00
5120,0,0,-0000,1022.00,1022.00
6752,-0.09,0.06,0.000000,1022.00,1022.00
9707,0,0,-0.56,-0.06,0.000001022.00
10125,0,0,-0.57,00,1022.00
11080,0,0,-0.65,0.44,0.00001022.00
15687,1,0,000000,1077.00,1077.00
16141,1,0,-0.06,-1.69,-0.0000.00
16868,9,2.75,0.000001,1106.00,1108.00
22678,48.34,-25.50,-0.000018,1141.00,1069.00
24544,1,0,70.43,-11.69,-0.00
26949,1,0,10100027,1160.00,1050.00
30628,1,0,99.35,1160.00,1050.00
34076,1,0,1135,1176.00,1034.00
35283,1,0,4,1175.00,1035.00
42367,1,0,150.90.000042,1192.00,1022.00
42859,151.04,-1.44,-0.000042,1190.00,1020.00
44893,1,0,156.41,-3.31,1016.00
45346,1,0,158.53,-5.1196.00,1014.00
60756,1,0,178.22,0.62,-0.000
63288,1,0,178.72,-1.50,-0.00004.00
65370,1,0,178.000051,1211.00,1003.00
65633,-179.77,-7.56,0.000048,1007.00,1203.00
70880,1,0,175.15,-4.25,-0.000000
71342,1,0,179.05,-8.44,-0.0000511004.00
76734,1,0,-0050,1004.00,1206.00
79159,1,0,177.86,0.13,-0.0
79619,1,0,178.85,-5.19,4.00
80082,1,0,-178.11049,1006.00,1204.00
82388,1,0,-178.23,0,1201.00
